grupo_id;grupo_descricao;codigo;descricao;soma;valor_empenhado;valor_liquidado;valor_pago;soma_qtde;n;media;media_qtde;desviopadrao;desviopadrao_qtde;soma_grupo;soma_qtde_grupo;n_grupo;media_grupo;media_qtde_grupo;desviopadrao_grupo;desviopadrao_qtde_grupo;padronizacao;padronizacao_qtde;distribuicao_normal;relevancia;criticidade;impacto;probabilidade;risco;relevancia_ai;criticidade_denuncias;criticidade_corregedoria;criticidade_relatorio_auditoria;criticidade_alertaorgao;criticidade_integridade;relevancia_idorc;distribuicao_normal_qtde;distribuicao_normal_qtde_inversa
0507;Projeto Atividade;1012;MANEJO INTEGRADO DE SUB BACIAS HIDROGRAFICAS;3804092.39;3804092.39;2019801.94;1917798.11;37;37;102813.307837837838;1.00000000000000000000;303082.58043243;0;13302928128.00;758527;663;20064748.307692307692;1144.0829562594268477;81586829.7978;6915.034935379754;-0.199;-0.160;0.42113;;;;;;;;;;;;;0.43644;
0507;Projeto Atividade;1016;URBANIZACAO DE FAVELAS E REVITALIZACAO DO ARRUDAS/TEREZA CRISTINA - PAC ARRUDAS;1483965.37;1483965.37;942041.06;1410670.27;237;237;6261.4572573839662447;1.00000000000000000000;109585.83342227;0;13302928128.00;758527;663;20064748.307692307692;1144.0829562594268477;81586829.7978;6915.034935379754;-0.228;-0.131;0.40982;;;;;;;;;;;;;0.44789;
0507;Projeto Atividade;1001;REALIZACAO DE EVENTOS MOBILIZADORES;4086.79;4086.79;4683.93;10960.68;14;14;291.9135714285714286;1.00000000000000000000;3473.450001677227;0;13302928128.00;758527;663;20064748.307692307692;1144.0829562594268477;81586829.7978;6915.034935379754;-0.246;-0.163;0.40284;;;;;;;;;;;;;0.43526;
0507;Projeto Atividade;1021;CONTENCAO DE ENCOSTAS EM AREAS DE RISCO - PAC ENCOSTAS;1200576.53;1200576.53;14275.94;13746.30;20;20;60028.826500000000;1.00000000000000000000;69375.00553612;0;13302928128.00;758527;663;20064748.307692307692;1144.0829562594268477;81586829.7978;6915.034935379754;-0.231;-0.163;0.40866;;;;;;;;;;;;;0.43526;
0507;Projeto Atividade;1025;OBRA E REFORMA NAS UNIDADES PREDIAIS DA FUNDACAO HOSPITALAR DE MINAS GERAIS;2242540.81;2242540.81;705056.62;328465.54;14;14;160181.486428571429;1.00000000000000000000;354227.06272912;0;13302928128.00;758527;663;20064748.307692307692;1144.0829562594268477;81586829.7978;6915.034935379754;-0.218;-0.163;0.41371;;;;;;;;;;;;;0.43526;
0507;Projeto Atividade;1015;MANUTENCAO E MODERNIZACAO DA ESTRUTURA FISICA DA FUNDACAO EZEQUIEL DIAS;3027589.44;3027589.44;4145690.88;708711.08;19;19;159346.812631578947;1.00000000000000000000;656514.23783058;0;13302928128.00;758527;663;20064748.307692307692;1144.0829562594268477;81586829.7978;6915.034935379754;-0.209;-0.163;0.41722;;;;;;;;;;;;;0.43526;
0507;Projeto Atividade;1006;MANUTENCAO DO PROGRAMA PRONATEC;1317093.94;1317093.94;1347491.18;1463277.32;573;573;2298.5932635253054101;1.00000000000000000000;8861.000945371287;0;13302928128.00;758527;663;20064748.307692307692;1144.0829562594268477;81586829.7978;6915.034935379754;-0.230;-0.083;0.40905;;;;;;;;;;;;;0.46693;
0507;Projeto Atividade;1033;DESENVOLVIMENTO E GERENCIAMENTO DE ESTUDOS E PROJETOS DE INFRAESTRUTURA E DE OBRAS PUBLICAS;16494698.15;16494698.15;16494698.15;16458743.67;16;16;1030918.634375000000;1.00000000000000000000;2495476.2913;0;13302928128.00;758527;663;20064748.307692307692;1144.0829562594268477;81586829.7978;6915.034935379754;-0.044;-0.163;0.48245;;;;;;;;;;;;;0.43526;
0507;Projeto Atividade;1018;REQUALIFICACAO URBANA E AMBIENTAL E CONTROLE DE CHEIAS DO CORREGO FERRUGEM - PAC FERRUGEM;2409185.82;2409185.82;5966556.63;8057974.36;5102;5102;472.2041983535868287;1.00000000000000000000;85398.44645592;0;13302928128.00;758527;663;20064748.307692307692;1144.0829562594268477;81586829.7978;6915.034935379754;-0.216;0.572;0.41449;;;;;;;;;;;;;0.71634;
0507;Projeto Atividade;1012;MANEJO INTEGRADO DE SUB BACIAS HIFROGRAFICAS;-740339.19;-740339.19;2037859.83;1909322.74;25;25;-29613.567600000000;1.00000000000000000000;443836.01378246;0;13302928128.00;758527;663;20064748.307692307692;1144.0829562594268477;81586829.7978;6915.034935379754;-0.255;-0.162;0.39936;;;;;;;;;;;;;0.43565;
